run,dns,tcp,tls,ttfb,total
1,0.022512,0.022737,0.146383,0.197315,0.197431
2,0.002431,0.002657,0.056265,0.10522,0.105287
3,0.001294,0.001431,0.052105,0.098752,0.098814
4,0.001619,0.001786,0.05279,0.149087,0.149206
5,0.002362,0.00261,0.042334,0.076205,0.076288
6,0.001513,0.001661,0.038905,0.088889,0.08901
7,0.002447,0.002701,0.046106,0.104218,0.104301
8,0.00248,0.002715,0.06127,0.095338,0.095412
9,0.000839,0.000913,0.02834,0.076624,0.076733
10,0.002522,0.00287,0.055705,0.102019,0.102145
11,0.0024,0.002634,0.050887,0.075253,0.075304
12,0.000816,0.000903,0.071146,0.104885,0.104976
13,0.001895,0.002096,0.04903,0.073048,0.073098
14,0.000825,0.000908,0.047949,0.104815,0.104923
15,0.002311,0.002636,0.060676,0.084444,0.084498
16,0.000823,0.000909,0.043184,0.070453,0.070495
17,0.000844,0.000932,0.051538,0.081317,0.081448
18,0.002349,0.002581,0.055513,0.078451,0.078506
19,0.000749,0.000823,0.031602,0.073002,0.073051
20,0.001149,0.001271,0.04745,0.091707,0.091769
21,0.001129,0.001247,0.035712,0.080799,0.080939
22,0.002405,0.002662,0.041388,0.081517,0.081601
23,0.001116,0.001239,0.041118,0.089094,0.08915
24,0.001766,0.001946,0.049452,0.08473,0.08478
25,0.001391,0.00149,0.038335,0.100688,0.100789
26,0.002493,0.00281,0.049212,0.078722,0.078782
27,0.000851,0.000933,0.030477,0.070166,0.070214
28,0.001205,0.001319,0.043324,0.107276,0.10736
29,0.002504,0.002777,0.049938,0.077185,0.077237
30,0.001245,0.001361,0.029206,0.056178,0.056253
31,0.001381,0.001528,0.045058,0.067344,0.067387
32,0.000865,0.000946,0.051515,0.075187,0.07523
33,0.001392,0.001555,0.042164,0.085393,0.085535
34,0.002351,0.002594,0.048918,0.067648,0.0677
35,0.000876,0.000959,0.030143,0.063674,0.063713
36,0.000888,0.000971,0.030311,0.062314,0.062364
37,0.000996,0.001103,0.042291,0.062309,0.062352
38,0.000793,0.000862,0.030481,0.068719,0.068763
39,0.001111,0.001244,0.041453,0.086165,0.086235
40,0.001569,0.001714,0.045888,0.076449,0.076493
41,0.000811,0.00089,0.035614,0.055182,0.05522
42,0.000862,0.000979,0.050573,0.072224,0.072264
43,0.000898,0.000992,0.033531,0.064284,0.064329
44,0.001075,0.001184,0.037233,0.076755,0.076804
45,0.001127,0.00125,0.040794,0.089904,0.089959
46,0.00103,0.001141,0.036055,0.060035,0.060101
47,0.001442,0.001597,0.043707,0.065046,0.065088
48,0.00108,0.001166,0.052375,0.079441,0.07955
49,0.002366,0.002615,0.053069,0.077552,0.077694
50,0.002386,0.002629,0.058886,0.086703,0.086754
51,0.000808,0.00088,0.036387,0.068216,0.068268
52,0.000855,0.000942,0.031531,0.0728,0.072846
53,0.001102,0.001214,0.045587,0.1053,0.1054
54,0.002287,0.002545,0.049945,0.085174,0.085224
55,0.000851,0.000936,0.028946,0.077923,0.077984
56,0.00171,0.001891,0.046991,0.084141,0.084192
57,0.000918,0.001016,0.030762,0.059216,0.059257
58,0.000865,0.000952,0.048783,0.068325,0.068371
59,0.000879,0.000972,0.036353,0.082805,0.082914
60,0.002484,0.002763,0.059217,0.138262,0.138478
61,0.00272,0.003055,0.043572,0.084575,0.08464
62,0.00109,0.001192,0.038238,0.057451,0.057501
63,0.000834,0.000921,0.040319,0.068486,0.068593
64,0.002382,0.002629,0.05153,0.071654,0.071703
65,0.000795,0.000874,0.028958,0.07147,0.071527
66,0.00171,0.001874,0.054146,0.090376,0.090424
67,0.000903,0.001018,0.034393,0.078255,0.07837
68,0.002356,0.002605,0.047172,0.097321,0.097387
69,0.0013,0.001448,0.047353,0.087025,0.087113
70,0.00196,0.002192,0.045156,0.088479,0.088531
71,0.001144,0.001297,0.043286,0.078159,0.078288
72,0.001918,0.002108,0.036981,0.071332,0.071383
73,0.000865,0.000964,0.034493,0.056722,0.056764
74,0.000831,0.000919,0.043046,0.06186,0.061904
75,0.000847,0.000928,0.028587,0.079362,0.079428
76,0.001664,0.001831,0.042668,0.088163,0.088223
77,0.001159,0.001285,0.03719,0.080523,0.080582
78,0.001077,0.001216,0.045571,0.085802,0.085853
79,0.000848,0.000936,0.035932,0.08931,0.089399
80,0.00165,0.001819,0.050085,0.087148,0.087242
81,0.001981,0.002178,0.056703,0.092525,0.092574
82,0.000804,0.000893,0.028974,0.078786,0.078914
83,0.002346,0.00261,0.045868,0.089206,0.089328
84,0.002428,0.002693,0.048038,0.083806,0.083862
85,0.000921,0.001003,0.032287,0.069131,0.069187
86,0.000971,0.001058,0.033179,0.052392,0.052446
87,0.000972,0.001052,0.055301,0.077401,0.077476
88,0.001149,0.001269,0.051407,0.078144,0.078185
89,0.000803,0.00089,0.029514,0.08607,0.086151
90,0.002252,0.002464,0.05388,0.083502,0.083604
91,0.0019,0.002098,0.047696,0.069357,0.069406
92,0.000841,0.000922,0.029814,0.049196,0.049236
93,0.000784,0.000865,0.040811,0.059077,0.059122
94,0.00077,0.00085,0.02919,0.068021,0.068067
95,0.001201,0.001328,0.039683,0.096571,0.09669
96,0.00253,0.002783,0.056437,0.080391,0.080448
97,0.000793,0.000869,0.036304,0.07181,0.071857
98,0.00103,0.001136,0.042094,0.065997,0.066041
99,0.00087,0.000958,0.053879,0.07907,0.07919
100,0.002365,0.00261,0.043154,0.063169,0.063221
