run,dns,tcp,tls,ttfb,total
1,0.114921,0.115192,0.333054,0.394908,0.395018
2,0.019892,0.020118,0.118334,0.176858,0.176991
3,0.020967,0.02123,0.092252,0.136093,0.136165
4,0.005626,0.005869,0.064119,0.105755,0.105822
5,0.004634,0.004784,0.077327,0.118732,0.118826
6,0.019302,0.019593,0.080227,0.122597,0.122658
7,0.005557,0.005684,0.060693,0.106101,0.106159
8,0.00465,0.004894,0.070411,0.111892,0.112006
9,0.005743,0.006003,0.075872,0.117562,0.117638
10,0.011,0.011294,0.070759,0.118273,0.118333
11,0.003539,0.003702,0.059138,0.100918,0.10099
12,0.005243,0.005475,0.075945,0.116811,0.116877
13,0.00477,0.004889,0.06953,0.110417,0.110496
14,0.008973,0.00922,0.068309,0.110336,0.110401
15,0.007526,0.007756,0.066734,0.109089,0.109146
16,0.004515,0.004682,0.094444,0.136755,0.136835
17,0.017906,0.018128,0.077805,0.125019,0.125079
18,0.004862,0.005027,0.062116,0.103882,0.103946
19,0.005536,0.00571,0.073051,0.114591,0.114675
20,0.023219,0.023456,0.080538,0.122714,0.122766
21,0.005517,0.005627,0.056564,0.099088,0.099162
22,0.00447,0.004741,0.061265,0.10315,0.103254
23,0.005169,0.005417,0.072195,0.113006,0.113134
24,0.021952,0.022252,0.081675,0.129583,0.129697
25,0.005683,0.005985,0.108712,0.151343,0.151475
26,0.005565,0.00585,0.065285,0.115835,0.115915
27,0.010261,0.010531,0.078176,0.119639,0.119718
28,0.038265,0.038555,0.096631,0.137536,0.13758
29,0.004567,0.0047,0.056722,0.100718,0.100773
30,0.004571,0.004739,0.057014,0.098476,0.098534
31,0.005566,0.005803,0.083105,0.124409,0.124487
32,0.03098,0.031309,0.168007,0.209728,0.209855
33,0.005798,0.006045,0.061609,0.106719,0.106786
34,0.003773,0.003931,0.058521,0.119317,0.119405
35,0.007636,0.007859,0.096881,0.151277,0.151331
36,0.004467,0.004558,0.090278,0.131954,0.132084
37,0.031378,0.031673,0.1478,0.190603,0.190695
38,0.034108,0.037452,0.100025,0.142477,0.142548
39,0.016827,0.017054,0.088034,0.128935,0.129009
40,0.026951,0.027205,0.088632,0.134743,0.134792
41,0.004578,0.004805,0.086903,0.128382,0.128504
42,0.023555,0.023813,0.080133,0.125679,0.125733
43,0.004388,0.004529,0.067092,0.11186,0.111953
44,0.005447,0.005711,0.075482,0.116888,0.116974
45,0.023986,0.024207,0.08126,0.12843,0.128528
46,0.006556,0.006801,0.082042,0.12481,0.124935
47,0.026834,0.027148,0.086988,0.136572,0.136697
48,0.00781,0.008055,0.082727,0.124941,0.125051
49,0.022675,0.022924,0.086614,0.156224,0.15634
50,0.004383,0.004524,0.092547,0.151744,0.151841
51,0.004608,0.004848,0.078989,0.120128,0.120256
52,0.025189,0.025457,0.082331,0.137937,0.138099
53,0.010727,0.011098,0.081535,0.123121,0.123204
54,0.031449,0.031812,0.103865,0.179724,0.179825
55,0.037372,0.037763,0.107039,0.174892,0.174998
56,0.036338,0.036657,0.104091,0.16089,0.160983
57,0.006964,0.00723,0.077194,0.117771,0.117853
58,0.015407,0.015624,0.077335,0.130303,0.130422
59,0.007292,0.007547,0.083764,0.125095,0.125193
60,0.026955,0.027194,0.086188,0.138306,0.138411
61,0.027405,0.027701,0.099053,0.140115,0.140237
62,0.012471,0.012725,0.085675,0.126553,0.12662
63,0.004747,0.004917,0.076045,0.117606,0.117733
64,0.023843,0.024136,0.084374,0.153999,0.154134
65,0.006706,0.00698,0.084447,0.125676,0.125802
66,0.008811,0.009056,0.071051,0.11545,0.115532
67,0.00626,0.00647,0.07965,0.120385,0.12047
68,0.049685,0.049986,0.109272,0.160839,0.160901
69,0.060155,0.06044,0.121623,0.162131,0.16218
70,0.005321,0.005458,0.062637,0.106871,0.106961
71,0.006901,0.007153,0.071949,0.113231,0.113354
72,0.023503,0.02376,0.080603,0.124892,0.124945
73,0.018896,0.019144,0.104108,0.145856,0.145966
74,0.023505,0.023771,0.083727,0.150286,0.150419
75,0.010103,0.010377,0.0888,0.130248,0.130384
76,0.005234,0.005489,0.061696,0.110165,0.110221
77,0.005282,0.005459,0.061896,0.103455,0.103523
78,0.004243,0.004395,0.129903,0.180108,0.180204
79,0.005615,0.00592,0.071798,0.113146,0.11323
80,0.027017,0.027272,0.087847,0.129969,0.130026
81,0.003529,0.00365,0.055654,0.103744,0.103815
82,0.008607,0.008885,0.082674,0.124201,0.124321
83,0.025608,0.025931,0.091097,0.147624,0.147701
84,0.005043,0.005286,0.067321,0.10786,0.107929
85,0.00824,0.008373,0.09267,0.14005,0.140149
86,0.005243,0.005484,0.084488,0.126094,0.126191
87,0.0299,0.03021,0.088132,0.143559,0.143655
88,0.004945,0.005168,0.077297,0.118159,0.118281
89,0.021745,0.022019,0.102759,0.14715,0.147275
90,0.005955,0.006193,0.070893,0.11168,0.111773
91,0.026925,0.02722,0.085101,0.127249,0.127301
92,0.009083,0.009212,0.060857,0.114758,0.114821
93,0.004307,0.004502,0.093562,0.135169,0.135262
94,0.019738,0.020002,0.082098,0.12337,0.123437
95,0.00385,0.003972,0.056838,0.097868,0.097934
96,0.004561,0.004742,0.072702,0.113749,0.113833
97,0.027809,0.028072,0.090766,0.134431,0.134535
98,0.00524,0.005473,0.059932,0.101386,0.101506
99,0.0056,0.005858,0.076232,0.117667,0.117753
100,0.025645,0.025983,0.084307,0.125615,0.125676
