env,metric,n,mean,median,min,max,variance,std,p90,p95,p99,ci_low,ci_high,ci_width
legacy,dns,100,14.9167,7.5810,3.5290,114.9210,236.5437,15.3800,30.0080,36.3897,60.7027,11.8650,17.9685,6.1034
legacy,tcp,100,15.1858,7.8075,3.6500,115.1920,238.7359,15.4511,30.3199,37.4675,60.9875,12.1200,18.2517,6.1317
legacy,tls,100,84.8344,81.3975,55.6540,333.0540,973.6810,31.2039,104.0927,118.4984,169.6575,78.6429,91.0259,12.3830
legacy,ttfb,100,130.7390,124.8510,97.8680,394.9080,1161.6903,34.0836,156.6855,177.0013,211.5798,123.9761,137.5019,13.5258
legacy,total,100,130.8285,124.9400,97.9340,395.0180,1162.1537,34.0904,156.7961,177.1327,211.7066,124.0642,137.5928,13.5285
aws,dns,100,1.6411,1.1465,0.7490,22.5120,4.8465,2.2015,2.4283,2.4935,2.9179,1.2042,2.0779,0.8736
aws,tcp,100,1.7923,1.2700,0.8230,22.7370,4.9733,2.2301,2.6651,2.7773,3.2518,1.3498,2.2348,0.8850
aws,tls,100,44.4479,43.3050,28.3400,146.3830,190.9040,13.8168,55.5322,58.9026,71.8984,41.7063,47.1895,5.4831
aws,ttfb,100,81.0898,78.5865,49.1960,197.3150,389.4384,19.7342,100.8211,105.2240,149.5693,77.1741,85.0055,7.8314
aws,total,100,81.1613,78.6440,49.2360,197.4310,390.1235,19.7515,100.9246,105.2927,149.6883,77.2422,85.0804,7.8383
